id,representation_2024,representation_2026,minimum_representation,classification
7442,0,1,0,Retained in 2026 only
7443,0,1,0,Retained in 2026 only
7444,0,0.3875,0,Excluded from both; 2026 only
7445,0,0.9875,0,Retained in 2026 only
7446,0,0.95,0,Retained in 2026 only
7447,0,1,0,Retained in 2026 only
7448,0,0.95,0,Retained in 2026 only
7449,0,1,0,Retained in 2026 only
7450,0,1,0,Retained in 2026 only
7451,0,0.9875,0,Retained in 2026 only
7452,0,0.9375,0,Retained in 2026 only
7453,0,0.9375,0,Retained in 2026 only
7454,0,0.95,0,Retained in 2026 only
7455,0,0.925,0,Retained in 2026 only
7456,0,1,0,Retained in 2026 only
7457,0,0.9,0,Retained in 2026 only
7458,0,1,0,Retained in 2026 only
7459,0,1,0,Retained in 2026 only
7460,0,0.95,0,Retained in 2026 only
7462,0,1,0,Retained in 2026 only
7463,0,1,0,Retained in 2026 only
7464,0,0.975,0,Retained in 2026 only
7465,0,0.95,0,Retained in 2026 only
7466,0,0.925,0,Retained in 2026 only
7467,0,1,0,Retained in 2026 only
7468,0,0.9,0,Retained in 2026 only
7470,0,1,0,Retained in 2026 only
7471,0,1,0,Retained in 2026 only
7473,0,1,0,Retained in 2026 only
7474,0,0.9875,0,Retained in 2026 only
7475,0,0.95,0,Retained in 2026 only
7476,0,1,0,Retained in 2026 only
7477,0,1,0,Retained in 2026 only
7478,0,1,0,Retained in 2026 only
7479,0,0.9875,0,Retained in 2026 only
7480,0,0.9625,0,Retained in 2026 only
7481,0,1,0,Retained in 2026 only
7482,0,0.8125,0,Retained in 2026 only
7483,0,0.9625,0,Retained in 2026 only
7484,0,1,0,Retained in 2026 only
7485,0,0.9,0,Retained in 2026 only
7486,0,0.9625,0,Retained in 2026 only
7487,0,1,0,Retained in 2026 only
7488,0,1,0,Retained in 2026 only
7489,0,1,0,Retained in 2026 only
7490,0,0.625,0,Excluded from both; 2026 only
7491,0,1,0,Retained in 2026 only
7492,0,0.95,0,Retained in 2026 only
7493,0,1,0,Retained in 2026 only
7494,0,1,0,Retained in 2026 only
7495,0,1,0,Retained in 2026 only
7496,0,0.95,0,Retained in 2026 only
7497,0,1,0,Retained in 2026 only
7498,0,1,0,Retained in 2026 only
7499,0,1,0,Retained in 2026 only
7500,0,0.925,0,Retained in 2026 only
7501,0,1,0,Retained in 2026 only
7502,0,1,0,Retained in 2026 only
7503,0,0.9875,0,Retained in 2026 only
7504,0,0.8875,0,Retained in 2026 only
7505,0,0.95,0,Retained in 2026 only
7507,0,1,0,Retained in 2026 only
7508,0,0.9875,0,Retained in 2026 only
7509,0,1,0,Retained in 2026 only
7510,0,0.9625,0,Retained in 2026 only
7511,0,1,0,Retained in 2026 only
7512,0,1,0,Retained in 2026 only
7513,0,1,0,Retained in 2026 only
7514,0,0.9875,0,Retained in 2026 only
7519,0,0.9875,0,Retained in 2026 only
7520,0,0.9875,0,Retained in 2026 only
7521,0,1,0,Retained in 2026 only
7522,0,1,0,Retained in 2026 only
7523,0,1,0,Retained in 2026 only
7524,0,0.8375,0,Retained in 2026 only
7525,0,0.475,0,Excluded from both; 2026 only
7526,0,0.875,0,Retained in 2026 only
7527,0,0.9125,0,Retained in 2026 only
7528,0,0.9375,0,Retained in 2026 only
7529,0,1,0,Retained in 2026 only
7530,0,0.725,0,Excluded from both; 2026 only
7531,0,0.65,0,Excluded from both; 2026 only
7532,0,0.65,0,Excluded from both; 2026 only
7533,0,1,0,Retained in 2026 only
7535,0,1,0,Retained in 2026 only
7536,0,0.2625,0,Excluded from both; 2026 only
7537,0,0.9625,0,Retained in 2026 only
7538,0,0.9625,0,Retained in 2026 only
7539,0,1,0,Retained in 2026 only
7540,0,1,0,Retained in 2026 only
7541,0,0.925,0,Retained in 2026 only
7542,0,0.9625,0,Retained in 2026 only
7543,0,1,0,Retained in 2026 only
7544,0,0.9125,0,Retained in 2026 only
7545,0,0.8875,0,Retained in 2026 only
7547,0,0.8125,0,Retained in 2026 only
7548,0,0.9875,0,Retained in 2026 only
7549,0,0.9,0,Retained in 2026 only
7550,0,0.7625,0,Excluded from both; 2026 only
7551,0,1,0,Retained in 2026 only
7552,0,1,0,Retained in 2026 only
7553,0,0.9,0,Retained in 2026 only
7554,0,0.8375,0,Retained in 2026 only
7555,0,0.9875,0,Retained in 2026 only
7556,0,1,0,Retained in 2026 only
7557,0,0.95,0,Retained in 2026 only
7558,0,0.9625,0,Retained in 2026 only
7560,0,0.9625,0,Retained in 2026 only
7561,0,0.9625,0,Retained in 2026 only
7563,0,0.5375,0,Excluded from both; 2026 only
7564,0,0.95,0,Retained in 2026 only
7565,0,0.9375,0,Retained in 2026 only
7567,0,1,0,Retained in 2026 only
7568,0,0.9,0,Retained in 2026 only
7569,0,0.9375,0,Retained in 2026 only
7570,0,0.9125,0,Retained in 2026 only
7572,0,1,0,Retained in 2026 only
7573,0,0.95,0,Retained in 2026 only
7574,0,1,0,Retained in 2026 only
7576,0,0.9625,0,Retained in 2026 only
7577,0,0.875,0,Retained in 2026 only
7578,0,0.9625,0,Retained in 2026 only
7579,0,0.9625,0,Retained in 2026 only
7580,0,0.9375,0,Retained in 2026 only
7581,0,1,0,Retained in 2026 only
7582,0,0.9875,0,Retained in 2026 only
7583,0,1,0,Retained in 2026 only
7584,0,1,0,Retained in 2026 only
7585,0,1,0,Retained in 2026 only
7586,0,0.9625,0,Retained in 2026 only
7587,0,0.9,0,Retained in 2026 only
7588,0,0.825,0,Retained in 2026 only
7589,0,0.8875,0,Retained in 2026 only
7590,0,1,0,Retained in 2026 only
7591,0,1,0,Retained in 2026 only
7593,0,1,0,Retained in 2026 only
7594,0,0.9125,0,Retained in 2026 only
7595,0,0.95,0,Retained in 2026 only
7596,0,0.9,0,Retained in 2026 only
7597,0,0.95,0,Retained in 2026 only
7598,0,1,0,Retained in 2026 only
7599,0,0.9875,0,Retained in 2026 only
7600,0,0.9625,0,Retained in 2026 only
7601,0,1,0,Retained in 2026 only
7602,0,1,0,Retained in 2026 only
7603,0,1,0,Retained in 2026 only
7604,0,1,0,Retained in 2026 only
7605,0,0.9,0,Retained in 2026 only
7606,0,0.6125,0,Excluded from both; 2026 only
7607,0,0.85,0,Retained in 2026 only
7608,0,0.9375,0,Retained in 2026 only
7609,0,0.9375,0,Retained in 2026 only
7610,0,0.9625,0,Retained in 2026 only
7611,0,0.8875,0,Retained in 2026 only
7612,0,1,0,Retained in 2026 only
7613,0,0.525,0,Excluded from both; 2026 only
7614,0,1,0,Retained in 2026 only
7615,0,0.7875,0,Excluded from both; 2026 only
7616,0,1,0,Retained in 2026 only
7617,0,0.9,0,Retained in 2026 only
7618,0,0.8625,0,Retained in 2026 only
7619,0,1,0,Retained in 2026 only
7622,0,0.9125,0,Retained in 2026 only
7623,0,0.95,0,Retained in 2026 only
7624,0,0.975,0,Retained in 2026 only
7625,0,1,0,Retained in 2026 only
7626,0,0.9875,0,Retained in 2026 only
7627,0,1,0,Retained in 2026 only
7628,0,0.9375,0,Retained in 2026 only
7629,0,0.9375,0,Retained in 2026 only
7630,0,0.9125,0,Retained in 2026 only
7631,0,0.9125,0,Retained in 2026 only
7632,0,0.0875,0,Excluded from both; 2026 only
7633,0,0.9,0,Retained in 2026 only
